,dismissal,Dis,bwd,c_fie,c_wk,st,lbw,hw,Ave,0s,bowler,match_type
0,right-hand batsman,45,21,15,5,0,4,0,9.46,8,JJ Bumrah,T20
1,left-hand batsman,14,3,7,3,0,1,0,9.28,0,JJ Bumrah,T20
2,right-hand batsman,23,4,13,4,0,2,0,18.91,2,TA Boult,T20
3,left-hand batsman,16,2,10,4,0,0,0,18.93,1,TA Boult,T20
4,right-hand batsman,1,0,1,0,0,0,0,10.00,0,RD Chahar,T20
5,right-hand batsman,16,5,9,1,0,1,0,13.75,3,K Rabada,T20
6,left-hand batsman,14,5,8,1,0,0,0,15.21,0,K Rabada,T20
7,left-hand batsman,2,1,1,0,0,0,0,29.00,0,A Nortje,T20
8,right-hand batsman,35,5,22,1,2,5,0,16.65,2,R Ashwin,T20
9,left-hand batsman,17,2,11,0,3,1,0,14.88,1,R Ashwin,T20
10,right-hand batsman,9,2,3,0,0,4,0,14.44,2,KH Pandya,T20
11,left-hand batsman,5,0,4,0,0,1,0,25.00,0,KH Pandya,T20
12,right-hand batsman,30,3,23,4,0,0,0,26.03,0,KA Pollard,T20
13,left-hand batsman,5,0,3,2,0,0,0,17.20,1,KA Pollard,T20
14,right-hand batsman,7,2,5,0,0,0,0,19.57,0,MP Stoinis,T20
15,left-hand batsman,2,0,2,0,0,0,0,37.50,0,MP Stoinis,T20
16,right-hand batsman,1,0,1,0,0,0,0,3.00,0,J Pattinson,T20
17,left-hand batsman,2,1,1,0,0,0,0,21.50,0,J Pattinson,T20
